hexagram_id,nuclear_hexagram_id,inverse_hexagram_id,complement_hexagram_id
1,1,1,2
2,2,2,1
3,23,4,50
4,24,3,49
5,38,6,35
6,37,5,36
7,24,8,13
8,23,7,14
9,38,10,16
10,37,9,15
11,54,12,12
12,53,11,11
13,44,14,7
14,43,13,8
15,40,16,10
16,39,15,9
17,53,18,18
18,54,17,17
19,24,20,33
20,23,19,34
21,39,22,48
22,40,21,47
23,2,24,43
24,2,23,44
25,53,26,46
26,54,25,45
27,2,27,28
28,1,28,27
29,27,29,30
30,28,30,29
31,44,32,41
32,43,31,42
33,44,34,19
34,43,33,20
35,39,36,5
36,40,35,6
37,64,38,40
38,63,37,39
39,64,40,38
40,63,39,37
41,24,42,31
42,23,41,32
43,1,44,23
44,1,43,24
45,53,46,26
46,54,45,25
47,37,48,22
48,38,47,21
49,44,50,4
50,43,49,3
51,39,52,57
52,40,51,58
53,64,54,54
54,63,53,53
55,28,56,59
56,28,55,60
57,38,58,51
58,37,57,52
59,27,60,55
60,27,59,56
61,27,61,62
62,28,62,61
63,64,64,64
64,63,63,63
