asset_key,cycle_no,gapja_code,gender,asset_type,asset_path,asset_status,render_status,qa_required,source_ref
gap-ja|male|base-composed,1,gap-ja,male,base_composed,combinations/mix_character/001_gap-ja_male.png,exists,generated,yes,gapja-combinations.csv
gap-ja|female|base-composed,1,gap-ja,female,base_composed,combinations/mix_character/001_gap-ja_female.png,exists,generated,yes,gapja-combinations.csv
eul-chuk|male|base-composed,2,eul-chuk,male,base_composed,combinations/mix_character/002_eul-chuk_male.png,exists,generated,yes,gapja-combinations.csv
eul-chuk|female|base-composed,2,eul-chuk,female,base_composed,combinations/mix_character/002_eul-chuk_female.png,exists,generated,yes,gapja-combinations.csv
byeong-in|male|base-composed,3,byeong-in,male,base_composed,combinations/mix_character/003_byeong-in_male.png,exists,generated,yes,gapja-combinations.csv
byeong-in|female|base-composed,3,byeong-in,female,base_composed,combinations/mix_character/003_byeong-in_female.png,exists,generated,yes,gapja-combinations.csv
jeong-myo|male|base-composed,4,jeong-myo,male,base_composed,combinations/mix_character/004_jeong-myo_male.png,exists,generated,yes,gapja-combinations.csv
jeong-myo|female|base-composed,4,jeong-myo,female,base_composed,combinations/mix_character/004_jeong-myo_female.png,exists,generated,yes,gapja-combinations.csv
mu-jin|male|base-composed,5,mu-jin,male,base_composed,combinations/mix_character/005_mu-jin_male.png,exists,generated,yes,gapja-combinations.csv
mu-jin|female|base-composed,5,mu-jin,female,base_composed,combinations/mix_character/005_mu-jin_female.png,exists,generated,yes,gapja-combinations.csv
gi-sa|male|base-composed,6,gi-sa,male,base_composed,combinations/mix_character/006_gi-sa_male.png,exists,generated,yes,gapja-combinations.csv
gi-sa|female|base-composed,6,gi-sa,female,base_composed,combinations/mix_character/006_gi-sa_female.png,exists,generated,yes,gapja-combinations.csv
gyeong-o|male|base-composed,7,gyeong-o,male,base_composed,combinations/mix_character/007_gyeong-o_male.png,exists,generated,yes,gapja-combinations.csv
gyeong-o|female|base-composed,7,gyeong-o,female,base_composed,combinations/mix_character/007_gyeong-o_female.png,exists,generated,yes,gapja-combinations.csv
sin-mi|male|base-composed,8,sin-mi,male,base_composed,combinations/mix_character/008_sin-mi_male.png,exists,generated,yes,gapja-combinations.csv
sin-mi|female|base-composed,8,sin-mi,female,base_composed,combinations/mix_character/008_sin-mi_female.png,exists,generated,yes,gapja-combinations.csv
im-sin|male|base-composed,9,im-sin,male,base_composed,combinations/mix_character/009_im-sin_male.png,exists,generated,yes,gapja-combinations.csv
