person_id,person_name,wikidata_qid,wikidata_label,match_status,occupation_group,occupation_labels,occupation_ids,source_url,confidence,notes
hf-famous-0001-a-a-gill,A. A. Gill,Q4647471,A. A. Gill,exact_en_label_match,writer_media,journalist;writer,Q1930187;Q36180,https://www.wikidata.org/wiki/Q4647471,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0002-a-j-antoon,A. J. Antoon,Q4647882,A. J. Antoon,exact_en_label_match,entertainer,theatre director,Q3387717,https://www.wikidata.org/wiki/Q4647882,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0003-a-j-cronin,A. J. Cronin,Q179059,A. J. Cronin,exact_en_label_match,entertainer,author;autobiographer;essayist;novelist;physician;physician writer;playwright;prose writer;screenwriter;surgeon,Q11774202;Q12144794;Q18814623;Q214917;Q28389;Q39631;Q482980;Q551835;Q6625963;Q774306,https://www.wikidata.org/wiki/Q179059,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0004-a-j-foyt,A. J. Foyt,Q173228,A. J. Foyt,exact_en_label_match,sports,Formula One driver;NASCAR team owner;racing automobile driver,Q10349745;Q10841764;Q17614049,https://www.wikidata.org/wiki/Q173228,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0005-a-spencer-paterson,A. Spencer Paterson,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0006-aaron-eckhart,Aaron Eckhart,Q192643,Aaron Eckhart,exact_en_label_match,entertainer,actor;film actor;film producer;television actor,Q10798782;Q10800557;Q3282637;Q33999,https://www.wikidata.org/wiki/Q192643,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0007-aaron-pryor,Aaron Pryor,Q1385420,Aaron Pryor,exact_en_label_match,sports,boxer,Q11338576,https://www.wikidata.org/wiki/Q1385420,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0008-aaron-spelling,Aaron Spelling,Q295080,Aaron Spelling,exact_en_label_match,entertainer,actor;director;executive producer;film producer;screenwriter;television producer,Q1053574;Q28389;Q3282637;Q33999;Q3455803;Q578109,https://www.wikidata.org/wiki/Q295080,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0009-aaron-stanford,Aaron Stanford,Q302786,Aaron Stanford,exact_en_label_match,entertainer,actor;film actor;film producer;television actor,Q10798782;Q10800557;Q3282637;Q33999,https://www.wikidata.org/wiki/Q302786,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0010-aart-van-der-leeuw,Aart Van der Leeuw,Q524770,Aart van der Leeuw,search_birth_date_match,writer_media,poet;writer,Q36180;Q49757,https://www.wikidata.org/wiki/Q524770,high,Wikidata search result accepted only because birth year or birth date matched the seed row.
hf-famous-0011-abb-fou-r,Abbé Fouéré,Q2824845,Adolphe Julien Fouéré,search_birth_date_match,arts,Catholic priest;sculptor,Q1281618;Q250867,https://www.wikidata.org/wiki/Q2824845,high,Wikidata search result accepted only because birth year or birth date matched the seed row.
hf-famous-0012-abb-pierre,Abbé Pierre,Q306933,Abbé Pierre,exact_en_label_match,politics,Catholic military chaplain;Catholic priest;French resistance fighter;politician,Q105228881;Q23833535;Q250867;Q82955,https://www.wikidata.org/wiki/Q306933,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0013-abd-al-malik,Abd Al Malik,Q2420980,Abd al Malik,search_birth_date_match,entertainer,film director;poet;rapper;recording artist;singer-songwriter;writer,Q2252262;Q2526255;Q36180;Q488205;Q49757;Q55960555,https://www.wikidata.org/wiki/Q2420980,high,Wikidata search result accepted only because birth year or birth date matched the seed row.
hf-famous-0014-abdecamai-moussali,Abdecamai Moussali,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0015-abdon-alinovi,Abdon Alinovi,Q3603368,Abdon Alinovi,exact_en_label_match,politics,politician,Q82955,https://www.wikidata.org/wiki/Q3603368,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0016-abdulrahman-al,Abdulrahman al,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0017-abel-bonnard,Abel Bonnard,Q318391,Abel Bonnard,exact_en_label_match,politics,diarist;novelist;poet;politician;writer,Q18939491;Q36180;Q49757;Q6625963;Q82955,https://www.wikidata.org/wiki/Q318391,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0018-abel-chennouf,Abel Chennouf,Q124871426,Abel Chennouf,exact_en_label_match,public_figure_other,soldier,Q4991371,https://www.wikidata.org/wiki/Q124871426,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0019-abel-gance,Abel Gance,Q313572,Abel Gance,exact_en_label_match,entertainer,film actor;film director;film editor;film producer;screenwriter,Q10800557;Q2526255;Q28389;Q3282637;Q7042855,https://www.wikidata.org/wiki/Q313572,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0020-abigail-brittany-hensel,Abigail & Brittany Hensel,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0021-abigail-folger,Abigail Folger,Q321114,Abigail Folger,exact_en_label_match,business,entrepreneur;social worker;socialite,Q131524;Q512314;Q7019111,https://www.wikidata.org/wiki/Q321114,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0022-abigail-gustafson,Abigail Gustafson,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0023-abigail-johnson,Abigail Johnson,Q321125,Abigail Johnson,exact_en_label_match,business,basketball player;business executive;businessperson;chief executive officer;researcher,Q1650915;Q2961975;Q3665646;Q43845;Q484876,https://www.wikidata.org/wiki/Q321125,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0024-abigail-voska,Abigail Voska,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0025-abijah-cheever,Abijah Cheever,Q16199829,Abijah Cheever,exact_en_label_match,politics,politician;surgeon,Q774306;Q82955,https://www.wikidata.org/wiki/Q16199829,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0026-abimael-guzman,Abimael Guzman,Q321322,Abimael Guzmán,search_birth_date_match,science_academia,philosopher;terrorist;university teacher,Q12414919;Q1622272;Q4964182,https://www.wikidata.org/wiki/Q321322,high,Wikidata search result accepted only because birth year or birth date matched the seed row.
hf-famous-0027-abner-biberman,Abner Biberman,Q129386,Abner Biberman,exact_en_label_match,entertainer,film actor;film director;screenwriter;television director,Q10800557;Q2059704;Q2526255;Q28389,https://www.wikidata.org/wiki/Q129386,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0028-abraham-j-dreiseszun,Abraham J. Dreiseszun,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0029-abraham-kasparian,Abraham Kasparian,Q65049839,Abraham Kasparian,exact_en_label_match,politics,politician,Q82955,https://www.wikidata.org/wiki/Q65049839,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0030-accardo-salvatore,Accardo Salvatore,,,no_exact_en_label_match,wikidata_not_found,,,https://www.wikidata.org/,low,No exact English-label Wikidata human match in batch query.
hf-famous-0031-achille-compagnoni,Achille Compagnoni,Q386889,Achille Compagnoni,exact_en_label_match,sports,biathlete;explorer;mountaineer;ski mountaineer,Q11900058;Q16029547;Q19801627;Q9149093,https://www.wikidata.org/wiki/Q386889,medium,Exact English label match against Wikidata human items; verify ambiguous names before final product display.
hf-famous-0032-achille-michallon,Achille Michallon,Q944962,Achille Etna Michallon,search_birth_date_match,arts,painter,Q1028181,https://www.wikidata.org/wiki/Q944962,high,Wikidata search result accepted only because birth year or birth date matched the seed row.
