rank_no,person_id,person_name,source_url,occupation_group,occupations,birth_date,birth_time,birth_time_status,birth_place,latitude,longitude,timezone,gender,year_pillar_approx,year_pillar_quality,zodiac_animal_ko,month_pillar,month_pillar_status,day_pillar,hour_pillar,hour_pillar_status,saju_data_quality,compatibility_use,notes
1,hf-famous-0001-a-a-gill,A. A. Gill,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1954-06-26,19:55,timed_public_dataset,,55.95,-3.188,+0100,Male,甲午,gregorian_year_ok,말,,requires_solar_term_engine,癸丑,壬戌,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
2,hf-famous-0002-a-j-antoon,A. J. Antoon,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1944-12-07,13:55,timed_public_dataset,,42.708,-71.162,-0400,Male,甲申,gregorian_year_ok,원숭이,,requires_solar_term_engine,乙巳,癸未,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
3,hf-famous-0003-a-j-cronin,A. J. Cronin,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1896-07-19,03:45,timed_public_dataset,,55.963,-4.653,+0000,Male,丙申,gregorian_year_ok,원숭이,,requires_solar_term_engine,癸酉,甲寅,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
4,hf-famous-0004-a-j-foyt,A. J. Foyt,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1935-01-16,01:25,timed_public_dataset,,29.761,-95.37,-0600,Male,乙亥,needs_ipchun_check,돼지,,requires_solar_term_engine,壬辰,辛丑,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
5,hf-famous-0005-a-spencer-paterson,A. Spencer Paterson,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1900-02-22,22:30,timed_public_dataset,,57.147,-2.095,+0000,Male,庚子,gregorian_year_ok,쥐,,requires_solar_term_engine,丙寅,己亥,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
6,hf-famous-0006-aaron-eckhart,Aaron Eckhart,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1968-03-12,18:50,timed_public_dataset,,37.445,-122.16,-0800,Male,戊申,gregorian_year_ok,원숭이,,requires_solar_term_engine,辛巳,丁酉,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
7,hf-famous-0007-aaron-pryor,Aaron Pryor,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1955-10-20,09:41,timed_public_dataset,,39.104,-84.514,-0400,Male,乙未,gregorian_year_ok,양,,requires_solar_term_engine,甲寅,己巳,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
8,hf-famous-0008-aaron-spelling,Aaron Spelling,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1923-04-22,12:30,timed_public_dataset,,32.778,-96.796,-0600,Male,癸亥,gregorian_year_ok,돼지,,requires_solar_term_engine,乙丑,壬午,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
9,hf-famous-0009-aaron-stanford,Aaron Stanford,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1976-12-27,20:43,timed_public_dataset,,42.581,-71.44,-0500,Male,丙辰,gregorian_year_ok,용,,requires_solar_term_engine,癸丑,壬戌,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
10,hf-famous-0010-aart-van-der-leeuw,Aart Van der Leeuw,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1876-06-23,15:00,timed_public_dataset,,52.012,4.36,+0018,Male,丙子,gregorian_year_ok,쥐,,requires_solar_term_engine,壬戌,戊申,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
11,hf-famous-0011-abb-fou-r,Abbé Fouéré,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1839-09-04,06:00,timed_public_dataset,,48.648,-2.026,+0009,Male,己亥,gregorian_year_ok,돼지,,requires_solar_term_engine,庚申,己卯,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
12,hf-famous-0012-abb-pierre,Abbé Pierre,https://huggingface.co/datasets/vedastro-org/15000-Famous-People-Birth-Date-Location,public_figure_source_unclassified,,1912-08-05,11:00,timed_public_dataset,,45.767,4.834,+0000,Male,壬子,gregorian_year_ok,쥐,,requires_solar_term_engine,癸丑,戊午,computed_from_public_dataset_time,timed_birth_available_month_requires_solar_term,candidate_pool_with_time_seed_verify_before_final_match,{'rodden': 'AA'}
