day_stem_code,day_stem_ko,target_stem_code,target_stem_ko,ten_god_code,ten_god_ko,category,element_relation,yinyang_relation,source_ref
gap,갑,gap,갑,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
gap,갑,eul,을,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
gap,갑,byeong,병,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
gap,갑,jeong,정,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
gap,갑,mu,무,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
gap,갑,gi,기,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
gap,갑,gyeong,경,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
gap,갑,sin,신,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
gap,갑,im,임,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
gap,갑,gye,계,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
eul,을,gap,갑,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
eul,을,eul,을,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
eul,을,byeong,병,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
eul,을,jeong,정,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
eul,을,mu,무,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
eul,을,gi,기,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
eul,을,gyeong,경,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
eul,을,sin,신,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
eul,을,im,임,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
eul,을,gye,계,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
byeong,병,gap,갑,pyeonin,편인,resource,target_generates_day_stem,target_same,/명리학/04_십성/00_소개.md
byeong,병,eul,을,jeongin,정인,resource,target_generates_day_stem,target_different,/명리학/04_십성/00_소개.md
byeong,병,byeong,병,bijeon,비견,peer,same_as_day_stem,same,/명리학/04_십성/00_소개.md
byeong,병,jeong,정,geopjae,겁재,peer,same_as_day_stem,different,/명리학/04_십성/00_소개.md
byeong,병,mu,무,siksin,식신,output,day_stem_generates,target_same,/명리학/04_십성/00_소개.md
byeong,병,gi,기,sanggwan,상관,output,day_stem_generates,target_different,/명리학/04_십성/00_소개.md
byeong,병,gyeong,경,pyeonjae,편재,wealth,day_stem_controls,target_same,/명리학/04_십성/00_소개.md
byeong,병,sin,신,jeongjae,정재,wealth,day_stem_controls,target_different,/명리학/04_십성/00_소개.md
byeong,병,im,임,pyeongwan,편관,authority,target_controls_day_stem,target_same,/명리학/04_십성/00_소개.md
byeong,병,gye,계,jeonggwan,정관,authority,target_controls_day_stem,target_different,/명리학/04_십성/00_소개.md
