day_stem_code,branch_code,stage_order,stage_code,stage_ko,direction,source_ref
gap,hae,1,jangsaeng,장생,forward,/명리학/05_12운성/00_소개.md
gap,ja,2,mogyok,목욕,forward,/명리학/05_12운성/00_소개.md
gap,chuk,3,gwandae,관대,forward,/명리학/05_12운성/00_소개.md
gap,in,4,geonrok,건록,forward,/명리학/05_12운성/00_소개.md
gap,myo,5,jewang,제왕,forward,/명리학/05_12운성/00_소개.md
gap,jin,6,soe,쇠,forward,/명리학/05_12운성/00_소개.md
gap,sa,7,byeong,병,forward,/명리학/05_12운성/00_소개.md
gap,o,8,sa,사,forward,/명리학/05_12운성/00_소개.md
gap,mi,9,myo,묘,forward,/명리학/05_12운성/00_소개.md
gap,sin,10,jeol,절,forward,/명리학/05_12운성/00_소개.md
gap,yu,11,tae,태,forward,/명리학/05_12운성/00_소개.md
gap,sul,12,yang,양,forward,/명리학/05_12운성/00_소개.md
eul,o,1,jangsaeng,장생,reverse,/명리학/05_12운성/00_소개.md
eul,sa,2,mogyok,목욕,reverse,/명리학/05_12운성/00_소개.md
eul,jin,3,gwandae,관대,reverse,/명리학/05_12운성/00_소개.md
eul,myo,4,geonrok,건록,reverse,/명리학/05_12운성/00_소개.md
eul,in,5,jewang,제왕,reverse,/명리학/05_12운성/00_소개.md
eul,chuk,6,soe,쇠,reverse,/명리학/05_12운성/00_소개.md
eul,ja,7,byeong,병,reverse,/명리학/05_12운성/00_소개.md
eul,hae,8,sa,사,reverse,/명리학/05_12운성/00_소개.md
eul,sul,9,myo,묘,reverse,/명리학/05_12운성/00_소개.md
eul,yu,10,jeol,절,reverse,/명리학/05_12운성/00_소개.md
eul,sin,11,tae,태,reverse,/명리학/05_12운성/00_소개.md
eul,mi,12,yang,양,reverse,/명리학/05_12운성/00_소개.md
byeong,in,1,jangsaeng,장생,forward,/명리학/05_12운성/00_소개.md
byeong,myo,2,mogyok,목욕,forward,/명리학/05_12운성/00_소개.md
byeong,jin,3,gwandae,관대,forward,/명리학/05_12운성/00_소개.md
byeong,sa,4,geonrok,건록,forward,/명리학/05_12운성/00_소개.md
byeong,o,5,jewang,제왕,forward,/명리학/05_12운성/00_소개.md
byeong,mi,6,soe,쇠,forward,/명리학/05_12운성/00_소개.md
byeong,sin,7,byeong,병,forward,/명리학/05_12운성/00_소개.md
byeong,yu,8,sa,사,forward,/명리학/05_12운성/00_소개.md
byeong,sul,9,myo,묘,forward,/명리학/05_12운성/00_소개.md
byeong,hae,10,jeol,절,forward,/명리학/05_12운성/00_소개.md
byeong,ja,11,tae,태,forward,/명리학/05_12운성/00_소개.md
byeong,chuk,12,yang,양,forward,/명리학/05_12운성/00_소개.md
jeong,yu,1,jangsaeng,장생,reverse,/명리학/05_12운성/00_소개.md
jeong,sin,2,mogyok,목욕,reverse,/명리학/05_12운성/00_소개.md
jeong,mi,3,gwandae,관대,reverse,/명리학/05_12운성/00_소개.md
jeong,o,4,geonrok,건록,reverse,/명리학/05_12운성/00_소개.md
jeong,sa,5,jewang,제왕,reverse,/명리학/05_12운성/00_소개.md
jeong,jin,6,soe,쇠,reverse,/명리학/05_12운성/00_소개.md
jeong,myo,7,byeong,병,reverse,/명리학/05_12운성/00_소개.md
jeong,in,8,sa,사,reverse,/명리학/05_12운성/00_소개.md
jeong,chuk,9,myo,묘,reverse,/명리학/05_12운성/00_소개.md
jeong,ja,10,jeol,절,reverse,/명리학/05_12운성/00_소개.md
jeong,hae,11,tae,태,reverse,/명리학/05_12운성/00_소개.md
jeong,sul,12,yang,양,reverse,/명리학/05_12운성/00_소개.md
mu,in,1,jangsaeng,장생,forward,/명리학/05_12운성/00_소개.md
mu,myo,2,mogyok,목욕,forward,/명리학/05_12운성/00_소개.md
mu,jin,3,gwandae,관대,forward,/명리학/05_12운성/00_소개.md
mu,sa,4,geonrok,건록,forward,/명리학/05_12운성/00_소개.md
mu,o,5,jewang,제왕,forward,/명리학/05_12운성/00_소개.md
mu,mi,6,soe,쇠,forward,/명리학/05_12운성/00_소개.md
mu,sin,7,byeong,병,forward,/명리학/05_12운성/00_소개.md
mu,yu,8,sa,사,forward,/명리학/05_12운성/00_소개.md
mu,sul,9,myo,묘,forward,/명리학/05_12운성/00_소개.md
mu,hae,10,jeol,절,forward,/명리학/05_12운성/00_소개.md
mu,ja,11,tae,태,forward,/명리학/05_12운성/00_소개.md
mu,chuk,12,yang,양,forward,/명리학/05_12운성/00_소개.md
gi,yu,1,jangsaeng,장생,reverse,/명리학/05_12운성/00_소개.md
gi,sin,2,mogyok,목욕,reverse,/명리학/05_12운성/00_소개.md
gi,mi,3,gwandae,관대,reverse,/명리학/05_12운성/00_소개.md
gi,o,4,geonrok,건록,reverse,/명리학/05_12운성/00_소개.md
gi,sa,5,jewang,제왕,reverse,/명리학/05_12운성/00_소개.md
gi,jin,6,soe,쇠,reverse,/명리학/05_12운성/00_소개.md
